"","logFC","logCPM","PValue","FDR"
"ENSG00000277027",-1.31620739969456,3.17780025545547,2.61519576406187e-08,0.000211937892845057
"ENSG00000269900",-1.31457868210187,3.17826599621428,2.77834281519746e-08,0.000211937892845057
"ENSG00000212443",-3.34659269978615,1.67196015680142,3.24809031180164e-08,0.000211937892845057
"ENSG00000264577",-1.30172602348155,3.54561039861081,7.64715473932647e-07,0.00374232635055789
"ENSG00000275146",-1.13849425483285,1.45192686086014,1.15174434422495e-06,0.00450907910764068
"ENSG00000265735",-1.24330334094735,2.99910476853119,1.54261724689076e-06,0.00503278876798111
"ENSG00000278249",-1.55312984330082,1.42140731446654,2.47103012024931e-06,0.00604630182548502
"ENSG00000270066",-1.55312984330082,1.42140731446654,2.47103012024931e-06,0.00604630182548502
"ENSG00000259001",-1.41653531264609,4.50153044719685,2.53433303330392e-05,0.0497737331195754
"ENSG00000277209",-1.4198465341843,4.49898236173675,2.54271944416733e-05,0.0497737331195754
"ENSG00000254911",-0.923290630339378,2.29539390616752,4.57053844402001e-05,0.0773813069830788
"ENSG00000260139",1.30922624274993,0.326377031200444,4.7436816541351e-05,0.0773813069830788
"ENSG00000274012",-1.11522281934694,7.52225452931348,7.66349741828831e-05,0.111319040833996
"ENSG00000282885",-1.11219678091584,7.52476485227006,7.96151505326151e-05,0.111319040833996
"ENSG00000006534",0.827528813866785,2.46224275409735,0.000137735893327649,0.179745340792582
"ENSG00000278771",-0.884032372902885,3.09834797628463,0.000415521933143688,0.508365115080481
"ENSG00000263934",-1.29054860329614,2.73600431306378,0.000467827498145691,0.538689604482465
"ENSG00000283029",-0.928836767921836,7.12378070776362,0.000779963950645542,0.803568122836131
"ENSG00000276168",-0.928836767921836,7.12378070776362,0.000779963950645542,0.803568122836131
"ENSG00000213741",-0.890780924433749,7.25231625337375,0.000984754205007121,0.96382817815072
"ENSG00000200488",-1.15414961104034,1.25733273626021,0.00113023716996495,1
"ENSG00000278217",-1.04589450830643,3.76629292489802,0.00115261848958636,1
"ENSG00000037280",0.764069504279834,2.50947333070847,0.00132878128123007,1
"ENSG00000196683",-0.846128772279861,1.57660750323777,0.00156337703271553,1
"ENSG00000075618",0.747645910602031,1.03649550918953,0.00178125520089492,1
"ENSG00000114270",0.783343361298695,1.86027360526311,0.00178996822457141,1
"ENSG00000269888",-0.800401604421103,1.53584886456938,0.00182152309966797,1
"ENSG00000234851",-0.800401604421103,1.53584886456938,0.00182152309966797,1
"ENSG00000278615",-0.772077269531321,1.22312007393904,0.00193738429062111,1
"ENSG00000229117",-0.822357013811253,3.78844592710033,0.00200731278563666,1
"ENSG00000197150",0.736848252412586,1.74568635296884,0.0021763212254164,1
"ENSG00000202198",-0.964579688804191,7.15232004910248,0.0024058528119935,1
"ENSG00000283293",-0.964579688804191,7.15232004910248,0.0024058528119935,1
"ENSG00000127184",-0.857215873268416,2.20300718883867,0.00246119525331607,1
"ENSG00000100314",0.952887189434739,0.323130169834104,0.00266949329784026,1
"ENSG00000260836",-0.815630951363466,3.07526532601394,0.00275642885755588,1
"ENSG00000132819",0.634825689589494,2.09130803521389,0.00287414974659186,1
"ENSG00000183018",0.810432329716205,1.43295667363092,0.00325857640726053,1
"ENSG00000080854",0.716930031436684,3.46016554265753,0.00362000388029687,1
"ENSG00000259295",0.75542421049401,0.610221706288955,0.00369041304808527,1
"ENSG00000255823",0.673969340975791,1.83451651095023,0.00375821534831272,1
"ENSG00000278233",-0.783247426835155,1.88321060944148,0.00379704319561337,1
"ENSG00000260458",0.807791072681879,0.78418638799651,0.00411148958882043,1
"ENSG00000277437",-0.905167069892237,1.85865416360531,0.00433671818577906,1
"ENSG00000177954",-0.878159313718916,3.9003184844181,0.00463949533087589,1
"ENSG00000179044",0.972637863110902,0.348971164030112,0.00494011708679359,1
"ENSG00000198242",-0.78305940872027,6.28893533379014,0.00501659016349223,1
"ENSG00000277108",-0.859642415494401,0.687246492371806,0.00507511725298779,1
"ENSG00000087266",0.604989090403816,2.43186734215481,0.00508753919247383,1
"ENSG00000173546",0.652565031319552,1.81176875343616,0.00509860308795309,1
"ENSG00000254039",0.615454823658153,2.13077683973542,0.00541419390052369,1
"ENSG00000004399",0.550339909778935,2.71483949632406,0.00559133483080446,1
"ENSG00000259420",0.734572678340901,1.27687307848117,0.00593774388253229,1
"ENSG00000137877",0.592175992042909,2.07848138855984,0.00627993470052117,1
"ENSG00000175274",0.563209324992824,2.62773633921961,0.00638516782686378,1
"ENSG00000197558",0.577581174969164,2.95163918011225,0.00678002662347096,1
"ENSG00000133519",0.868121100389323,1.15870299550469,0.00692867696922796,1
"ENSG00000263489",0.726400625360574,0.776854186391546,0.00727964838889999,1
"ENSG00000167800",0.768132105649194,0.771651448845086,0.0073773885887714,1
"ENSG00000130176",1.0666252013537,-0.129321647586187,0.00785018001204311,1
"ENSG00000084636",0.649311264683262,1.46368810437043,0.00798422653022576,1
"ENSG00000249971",-0.879587151907416,0.461118401644245,0.00828451931867929,1
"ENSG00000117013",0.535552945006226,1.52757329556377,0.0082925431358161,1
"ENSG00000197756",-0.598243982794274,5.00440784167484,0.00831962970195013,1
"ENSG00000055118",0.603411710168636,2.02261842440969,0.00837901235079467,1
"ENSG00000265749",-0.863313264819052,2.11895351297159,0.00845752382198107,1
"ENSG00000011451",0.650236507799863,1.94774525506493,0.00856658136368197,1
"ENSG00000100346",0.558295950806981,3.50547235528672,0.00876214790648801,1
"ENSG00000125691",-0.761691248695415,5.13208560167678,0.00879548105843245,1
"ENSG00000144488",0.609022431622198,1.58677231930172,0.0089164928239887,1
"ENSG00000184076",-0.818895581082708,1.38948826620561,0.00912042072233545,1
"ENSG00000160683",0.543130778787193,1.53550035308453,0.00945098756687774,1
"ENSG00000260596",0.72013721491962,2.52839169968703,0.00945528537761039,1
"ENSG00000248923",0.812236993707762,2.61180671021321,0.00964168685562625,1
"ENSG00000231793",1.0940487976972,0.0154569028631241,0.00985519253166055,1
"ENSG00000175463",0.942807673504201,0.378205125559699,0.00988187914485785,1
"ENSG00000264462",-0.641784706365673,3.03551967952001,0.0100972267804492,1
"ENSG00000114391",-0.790030764753105,3.41563892137926,0.0101933489207346,1
"ENSG00000072182",0.66916024351595,1.75537109076268,0.0103122530262839,1
"ENSG00000167994",0.575411983506198,2.01940518630819,0.0104108540646187,1
"ENSG00000124172",-0.642809390260429,2.66867185954665,0.010610884499286,1
"ENSG00000132688",0.625896861768624,1.14999540573397,0.0107881143003199,1
"ENSG00000160396",0.787021339197284,0.345159049631119,0.0108249264476586,1
"ENSG00000136931",0.578097450347883,1.39913712460709,0.0108308908449353,1
"ENSG00000179046",-0.829275971966703,0.667494091817811,0.0110106865968168,1
"ENSG00000006283",0.598696343287081,4.09109171017186,0.0110385621677257,1
"ENSG00000272636",0.660925825319596,1.9325636875898,0.0112339643439837,1
"ENSG00000100218",0.52062570411186,2.56485381745716,0.0113611690731204,1
"ENSG00000185215",0.678001452691942,0.704633699389128,0.0114036412957985,1
"ENSG00000154025",0.553828267022486,2.99233977772773,0.0114263314575846,1
"ENSG00000034152",0.567039047961445,2.44069890321388,0.0115072569664614,1
"ENSG00000091536",0.62873038392498,3.04167374739137,0.0118675581601251,1
"ENSG00000131759",0.497649781856178,2.79294275354254,0.01195058895815,1
"ENSG00000197728",-0.579149215578481,3.1443107190259,0.0126881228960892,1
"ENSG00000268869",0.58622246077683,1.67294760294709,0.0127700279862278,1
"ENSG00000164266",-0.750088619765393,1.76764417230464,0.0130398938129579,1
"ENSG00000187800",0.622995843742328,1.20588253913198,0.0135868174304976,1
"ENSG00000168427",0.874158871949964,0.381978123721635,0.013603616422609,1
"ENSG00000005001",-0.736430883968176,2.59514511701097,0.0139156916795426,1
