"X","logFC","logCPM","PValue","FDR","GeneID","Chr","Start","End","Strand","Length"
737,14.7478016273595,16.4127233996358,2.26617283620472e-18,1.60218419519673e-15,"lmo1734","AL591824.1",1800256,1804848,"-",4593
994,13.7661398988674,15.4894314895543,5.06249540245947e-18,1.78959212476942e-15,"lmo2287","AL591824.1",2370736,2376099,"-",5364
38,4.72808669626922,16.1115425646142,5.05073229261599e-16,1.1902892436265e-13,"lmo0086","AL591824.1",88888,94767,"+",5880
26,13.3592512723924,15.0915795108348,3.74565312489377e-15,6.62044189824974e-13,"lmo0057","AL591824.1",60948,64154,"+",3207
1212,13.1932178616688,14.9263083844634,6.77686682103007e-14,9.58248968493651e-12,"lmo2775","AL591824.1",2858196,2860364,"-",2169
1193,13.1250578026936,14.8604291622675,1.08735743515363e-13,1.28126951108937e-11,"lmo2734","AL591824.1",2807459,2810107,"+",2649
736,13.9953156543644,15.668191199743,7.56715392388932e-13,6.92215245093853e-11,"lmo1733","AL591824.1",1798740,1800241,"-",1502
1138,13.0088670485559,14.7469562935132,7.83270432920908e-13,6.92215245093853e-11,"lmo2586","AL591824.1",2665666,2668653,"-",2988
24,12.983308191281,14.7207932216338,9.14841522925475e-13,7.18658840787012e-11,"lmo0052","AL591824.1",54839,56812,"+",1974
1177,12.981309192908,14.720027269533,1.0392573933473e-12,7.34754977096541e-11,"lmo2689","AL591824.1",2763082,2765652,"-",2571
7,12.9452643216655,14.6836959297775,2.01840893489712e-12,1.29728646997478e-10,"qoxB","AL591824.1",17344,19323,"+",1980
1214,12.9111094546421,14.6512533937095,3.14686435426832e-12,1.85402758205642e-10,"lmo2781","AL591824.1",2865127,2867397,"-",2271
1056,12.9429189204849,14.6785211382742,3.72790268358812e-12,2.02740553638215e-10,"lmo2378","AL591824.1",2454695,2457103,"+",2409
576,12.8708148923515,14.611296837967,4.55571328185032e-12,2.30063520733441e-10,"infB","AL591824.1",1353696,1356035,"+",2340
1147,13.8649928196266,15.5354441713504,5.86306296255845e-12,2.76345700968588e-10,"rpsE","AL591824.1",2697463,2697966,"-",504
1172,12.8412539862219,14.5824516482835,6.86135952735135e-12,3.03186324114838e-10,"lmo2679","AL591824.1",2750230,2752920,"-",2691
1175,12.8759595379926,14.6106440316617,1.60849037659456e-11,6.68942762501383e-10,"kdpA","AL591824.1",2755580,2757265,"-",1686
395,12.8522130778895,14.577536534303,3.04205355927991e-11,1.19485103689494e-09,"dltA","AL591824.1",1005036,1006568,"-",1533
1217,12.695252793311,14.4350798465404,6.03317768466546e-11,2.24497717003078e-09,"bvrB","AL591824.1",2873915,2875837,"-",1923
244,12.6431273734043,14.3864065854375,6.77674214163633e-11,2.39557834706844e-09,"lmo0630","AL591824.1",670309,672339,"+",2031
1174,12.6295490897071,14.3755255020271,7.83282493800817e-11,2.63705106246275e-09,"kdpB","AL591824.1",2753523,2755568,"-",2046
123,12.5825716864723,14.3298882506083,1.15466420779782e-10,3.71067088596846e-09,"lmo0279","AL591824.1",302008,304140,"+",2133
1091,12.5405516075366,14.2889379883461,1.68310639193686e-10,5.17372269173634e-09,"uvrB","AL591824.1",2565469,2567445,"-",1977
1210,12.5493269631412,14.2966297367209,2.48075359621997e-10,7.30788663553133e-09,"lmo2772","AL591824.1",2854429,2856282,"-",1854
1202,12.4908657303545,14.2391893495281,4.92310586378748e-10,1.3922543382791e-08,"lmo2751","AL591824.1",2826515,2828236,"+",1722
