"X","logFC","logCPM","PValue","FDR","GeneID","Chr","Start","End","Strand","Length"
994,13.1741895821621,15.3321972027062,2.08416679719352e-13,1.47767425921021e-10,"lmo2287","AL591824.1",2370736,2376099,"-",5364
26,12.7683537854808,14.9568943352288,6.29162779469037e-12,2.23038205321774e-09,"lmo0057","AL591824.1",60948,64154,"+",3207
38,4.63888270580226,15.8246659369547,6.74179302455509e-11,1.59331041813652e-08,"lmo0086","AL591824.1",88888,94767,"+",5880
1138,12.55466741919,14.7565262594226,1.03791215228112e-10,1.83969928991828e-08,"lmo2586","AL591824.1",2665666,2668653,"-",2988
1177,12.4088429951282,14.6204500835586,1.45843704084447e-10,1.94669269077969e-08,"lmo2689","AL591824.1",2763082,2765652,"-",2571
1193,12.4072686213145,14.6190892385367,1.64741271434107e-10,1.94669269077969e-08,"lmo2734","AL591824.1",2807459,2810107,"+",2649
1212,12.4184851847784,14.6296501129679,2.75465294564366e-10,2.57096313783288e-08,"lmo2775","AL591824.1",2858196,2860364,"-",2169
1056,12.3324474567122,14.5485760976678,2.90094571264641e-10,2.57096313783288e-08,"lmo2378","AL591824.1",2454695,2457103,"+",2409
1214,12.2516550064647,14.4723005976885,8.43734005445735e-10,6.40180342190982e-08,"lmo2781","AL591824.1",2865127,2867397,"-",2271
24,12.5687151746439,14.7678778356584,9.02934192088833e-10,6.40180342190982e-08,"lmo0052","AL591824.1",54839,56812,"+",1974
1175,12.1852650955868,14.4095641887999,1.82573915895182e-09,1.17677187608804e-07,"kdpA","AL591824.1",2755580,2757265,"-",1686
1172,12.4454543172971,14.6526591354299,2.21246717137904e-09,1.30719935375645e-07,"lmo2679","AL591824.1",2750230,2752920,"-",2691
1174,12.088812169726,14.318418216066,2.89101309661573e-09,1.57671406576966e-07,"kdpB","AL591824.1",2753523,2755568,"-",2046
1217,12.0213707318005,14.2541084532607,4.02800277786346e-09,1.93412877442431e-07,"bvrB","AL591824.1",2873915,2875837,"-",1923
123,12.0024077193326,14.2364988961988,4.09195086267484e-09,1.93412877442431e-07,"lmo0279","AL591824.1",302008,304140,"+",2133
1210,11.9958630661543,14.2294424955363,4.95876042167647e-09,2.19735071185539e-07,"lmo2772","AL591824.1",2854429,2856282,"-",1854
1091,12.056697645926,14.2877105096799,8.01249077656387e-09,3.25500637132295e-07,"uvrB","AL591824.1",2565469,2567445,"-",1977
656,11.8896251133872,14.1291144955415,8.26376793847858e-09,3.25500637132295e-07,"lmo1525","AL591824.1",1559081,1561432,"-",2352
185,11.8960297259015,14.1344238219947,9.81657579503603e-09,3.66313275720029e-07,"lmo0425","AL591824.1",445049,447010,"+",1962
129,11.8642021206276,14.1052249059241,1.04311171531912e-08,3.69783103080629e-07,"lmo0288","AL591824.1",311830,313662,"+",1833
244,11.9443804005815,14.1804580036822,1.17776907198211e-08,3.9763727239777e-07,"lmo0630","AL591824.1",670309,672339,"+",2031
872,11.9671441695585,14.2025653930408,1.40772360578297e-08,4.18651769137967e-07,"lmo2014","AL591824.1",2088797,2091454,"-",2658
488,11.796297828112,14.0405322460433,1.40827940654357e-08,4.18651769137967e-07,"lmo1131","AL591824.1",1164245,1165960,"+",1716
287,11.8337452693194,14.0749204986132,1.42375596366371e-08,4.18651769137967e-07,"lmo0713","AL591824.1",743782,745434,"+",1653
214,11.8019027361577,14.0458477580047,1.47620510979537e-08,4.18651769137967e-07,"lmo0530","AL591824.1",567030,569081,"+",2052
1202,11.9448200518584,14.1816894087395,1.67872317604809e-08,4.57774896853115e-07,"lmo2751","AL591824.1",2826515,2828236,"+",1722
734,11.7931102398711,14.0359258546493,2.34507801440541e-08,6.15800115634605e-07,"lmo1729","AL591824.1",1793082,1795253,"-",2172
167,11.8033197535584,14.0457516055293,2.76453861818477e-08,7.00020671533215e-07,"lmo0386","AL591824.1",409944,411860,"+",1917
369,11.7041155396364,13.9511943735625,3.22288739274193e-08,7.87940400501389e-07,"lmo0898","AL591824.1",933959,936136,"+",2178
7,12.6561162010525,14.84486019384,3.77798237893231e-08,8.92047162558539e-07,"qoxB","AL591824.1",17344,19323,"+",1980
795,11.6747138390093,13.9229355295909,3.90034725519248e-08,8.92047162558539e-07,"lmo1853","AL591824.1",1928798,1931011,"-",2214
239,11.6414352837257,13.8926845009188,4.1222149868399e-08,9.03344456605258e-07,"lmo0607","AL591824.1",645878,647590,"+",1713
297,11.7033724248618,13.9513186561308,4.27352711334094e-08,9.03344456605258e-07,"lmo0723","AL591824.1",753490,755295,"+",1806
178,11.7341538202038,13.9824533242252,4.33197623759926e-08,9.03344456605258e-07,"lmo0411","AL591824.1",433153,434745,"-",1593
745,11.9019390888425,14.1394254326192,4.63066525020874e-08,9.38040474970855e-07,"lmo1758","AL591824.1",1827941,1829956,"-",2016
204,11.7767350556177,14.0201272570561,4.88978416209632e-08,9.63015825257304e-07,"lmo0501","AL591824.1",536187,538247,"+",2061
562,11.7084108412743,13.9578179582303,5.54815718687418e-08,1.06314687716048e-06,"parE","AL591824.1",1308351,1310318,"+",1968
1123,11.7100366344766,13.959187756197,5.80950138859159e-08,1.07901812667828e-06,"lmo2555","AL591824.1",2631303,2632586,"-",1284
1242,11.665316585279,13.9157585246688,5.93536064040239e-08,1.07901812667828e-06,"lmo2826","AL591824.1",2913991,2915205,"-",1215
211,11.5907608080284,13.8424725722874,7.22745914196467e-08,1.25093047801478e-06,"lmo0527","AL591824.1",562789,564264,"+",1476
